,demand_forecast
2023-01-14 12:00:00,10405.229
2023-01-14 13:00:00,10254.868
2023-01-14 14:00:00,10036.719
2023-01-14 15:00:00,9935.607
2023-01-14 16:00:00,9993.329
2023-01-14 17:00:00,10500.867
2023-01-14 18:00:00,10713.759
2023-01-14 19:00:00,10446.058
2023-01-14 20:00:00,9999.832
2023-01-14 21:00:00,9285.301
2023-01-14 22:00:00,8831.32
2023-01-14 23:00:00,8629.068
2023-01-15 00:00:00,7972.5835
2023-01-15 01:00:00,7840.1885
2023-01-15 02:00:00,7712.435
2023-01-15 03:00:00,7721.0444
2023-01-15 04:00:00,7624.0547
2023-01-15 05:00:00,7603.989
2023-01-15 06:00:00,7618.507
2023-01-15 07:00:00,7726.984
2023-01-15 08:00:00,8012.833
2023-01-15 09:00:00,8645.933
2023-01-15 10:00:00,9382.368
2023-01-15 11:00:00,9493.32
2023-01-15 12:00:00,9486.663
2023-01-15 13:00:00,9372.787
2023-01-15 14:00:00,9232.462
2023-01-15 15:00:00,9167.116
2023-01-15 16:00:00,9144.184
2023-01-15 17:00:00,9859.046
2023-01-15 18:00:00,10005.224
2023-01-15 19:00:00,9996.731
2023-01-15 20:00:00,9582.7
2023-01-15 21:00:00,9241.785
2023-01-15 22:00:00,8824.1045
2023-01-15 23:00:00,8552.943
2023-01-16 00:00:00,8380.628
2023-01-16 01:00:00,8345.869
2023-01-16 02:00:00,8231.571
2023-01-16 03:00:00,8475.902
2023-01-16 04:00:00,8493.916
2023-01-16 05:00:00,9108.867
2023-01-16 06:00:00,10243.949
2023-01-16 07:00:00,11033.135
2023-01-16 08:00:00,11239.876
2023-01-16 09:00:00,11835.362
2023-01-16 10:00:00,12240.2
2023-01-16 11:00:00,12645.649
2023-01-16 12:00:00,12584.336
2023-01-16 13:00:00,12458.774
2023-01-16 14:00:00,12211.865
2023-01-16 15:00:00,11878.63
2023-01-16 16:00:00,11978.459
2023-01-16 17:00:00,12548.382
2023-01-16 18:00:00,12713.894
2023-01-16 19:00:00,12627.217
2023-01-16 20:00:00,11522.104
2023-01-16 21:00:00,10839.415
2023-01-16 22:00:00,10390.131
2023-01-16 23:00:00,9722.168
2023-01-17 00:00:00,9434.616
2023-01-17 01:00:00,9104.713
2023-01-17 02:00:00,8908.99
2023-01-17 03:00:00,9070.394
2023-01-17 04:00:00,9178.572
2023-01-17 05:00:00,9903.791
2023-01-17 06:00:00,10525.818
2023-01-17 07:00:00,11478.989
2023-01-17 08:00:00,11755.583
2023-01-17 09:00:00,12149.046
2023-01-17 10:00:00,12513.88
2023-01-17 11:00:00,12880.678
2023-01-17 12:00:00,12782.423
2023-01-17 13:00:00,12609.128
2023-01-17 14:00:00,12257.9795
2023-01-17 15:00:00,12023.398
2023-01-17 16:00:00,12037.2705
2023-01-17 17:00:00,12465.549
2023-01-17 18:00:00,12599.489
2023-01-17 19:00:00,12461.737
2023-01-17 20:00:00,11670.109
2023-01-17 21:00:00,10794.644
2023-01-17 22:00:00,10436.973
2023-01-17 23:00:00,9933.136
2023-01-18 00:00:00,9331.994
2023-01-18 01:00:00,8702.992
2023-01-18 02:00:00,8530.419
2023-01-18 03:00:00,8563.867
2023-01-18 04:00:00,8854.926
2023-01-18 05:00:00,9644.708
2023-01-18 06:00:00,10294.666
2023-01-18 07:00:00,11378.289
2023-01-18 08:00:00,11792.743
2023-01-18 09:00:00,12123.56
2023-01-18 10:00:00,12246.396
2023-01-18 11:00:00,12353.352
2023-01-18 12:00:00,12290.27
2023-01-18 13:00:00,12172.568
2023-01-18 14:00:00,11993.355
2023-01-18 15:00:00,11939.285
2023-01-18 16:00:00,11896.523
2023-01-18 17:00:00,12161.452
2023-01-18 18:00:00,12302.958
2023-01-18 19:00:00,12183.601
2023-01-18 20:00:00,11409.233
2023-01-18 21:00:00,10620.604
2023-01-18 22:00:00,10127.344
2023-01-18 23:00:00,9626.519
2023-01-19 00:00:00,9270.446
2023-01-19 01:00:00,8893.914
2023-01-19 02:00:00,8854.338
2023-01-19 03:00:00,8916.179
2023-01-19 04:00:00,9288.359
2023-01-19 05:00:00,9931.147
2023-01-19 06:00:00,10763.636
2023-01-19 07:00:00,11743.604
2023-01-19 08:00:00,12070.454
2023-01-19 09:00:00,12297.594
2023-01-19 10:00:00,12437.912
2023-01-19 11:00:00,12518.894
2023-01-19 12:00:00,12418.709
2023-01-19 13:00:00,12197.605
2023-01-19 14:00:00,12066.368
2023-01-19 15:00:00,11971.037
2023-01-19 16:00:00,11902.257
2023-01-19 17:00:00,12302.691
2023-01-19 18:00:00,12380.472
2023-01-19 19:00:00,12303.324
2023-01-19 20:00:00,11570.462
2023-01-19 21:00:00,10639.349
2023-01-19 22:00:00,10304.048
2023-01-19 23:00:00,9806.682
2023-01-20 00:00:00,9312.753
2023-01-20 01:00:00,9209.893
2023-01-20 02:00:00,9228.942
2023-01-20 03:00:00,9296.947
2023-01-20 04:00:00,9540.347
2023-01-20 05:00:00,10136.079
2023-01-20 06:00:00,11031.248
2023-01-20 07:00:00,11999.961
2023-01-20 08:00:00,12361.026
2023-01-20 09:00:00,12350.926
2023-01-20 10:00:00,12476.353
2023-01-20 11:00:00,12514.878
2023-01-20 12:00:00,12360.5205
2023-01-20 13:00:00,12083.698
2023-01-20 14:00:00,11952.034
2023-01-20 15:00:00,11880.413
2023-01-20 16:00:00,11808.583
2023-01-20 17:00:00,12146.774
2023-01-20 18:00:00,12240.147
2023-01-20 19:00:00,12067.623
2023-01-20 20:00:00,11332.13
2023-01-20 21:00:00,10555.597
2023-01-20 22:00:00,10136.047
2023-01-20 23:00:00,9657.118
2023-01-21 00:00:00,8966.019
2023-01-21 01:00:00,8838.186
2023-01-21 02:00:00,8828.673
2023-01-21 03:00:00,8788.275
2023-01-21 04:00:00,8647.022
2023-01-21 05:00:00,8655.624
2023-01-21 06:00:00,8948.4795
2023-01-21 07:00:00,9180.149
2023-01-21 08:00:00,9597.499
2023-01-21 09:00:00,10246.67
2023-01-21 10:00:00,10730.551
2023-01-21 11:00:00,10791.705
2023-01-21 12:00:00,10607.507
2023-01-21 13:00:00,10376.34
2023-01-21 14:00:00,10034.8545
2023-01-21 15:00:00,10096.8955
2023-01-21 16:00:00,10119.2
2023-01-21 17:00:00,10669.297
2023-01-21 18:00:00,10860.718
2023-01-21 19:00:00,10581.048
2023-01-21 20:00:00,10163.049
2023-01-21 21:00:00,9551.463
2023-01-21 22:00:00,9183.491
2023-01-21 23:00:00,8955.868
2023-01-22 00:00:00,8260.221
2023-01-22 01:00:00,8139.204
2023-01-22 02:00:00,8100.2744
2023-01-22 03:00:00,8101.2305
2023-01-22 04:00:00,7936.4624
2023-01-22 05:00:00,7921.189
2023-01-22 06:00:00,8025.5264
2023-01-22 07:00:00,8133.118
2023-01-22 08:00:00,8428.831
2023-01-22 09:00:00,9200.194
2023-01-22 10:00:00,9823.224
2023-01-22 11:00:00,9930.747
2023-01-22 12:00:00,9848.84
2023-01-22 13:00:00,9573.008
2023-01-22 14:00:00,9406.649
2023-01-22 15:00:00,9331.313
2023-01-22 16:00:00,9370.195
2023-01-22 17:00:00,10083.683
2023-01-22 18:00:00,10242.41
2023-01-22 19:00:00,10257.972
2023-01-22 20:00:00,9771.652
2023-01-22 21:00:00,9465.211
2023-01-22 22:00:00,9155.611
2023-01-22 23:00:00,8780.931
2023-01-23 00:00:00,8665.036
2023-01-23 01:00:00,8742.643
2023-01-23 02:00:00,8794.672
2023-01-23 03:00:00,8754.234
2023-01-23 04:00:00,9015.856
2023-01-23 05:00:00,9652.214
2023-01-23 06:00:00,10732.113
2023-01-23 07:00:00,11513.379
2023-01-23 08:00:00,11826.413
2023-01-23 09:00:00,12388.4795
2023-01-23 10:00:00,12642.354
2023-01-23 11:00:00,12780.292
2023-01-23 12:00:00,12829.594
2023-01-23 13:00:00,12698.213
2023-01-23 14:00:00,12457.097
2023-01-23 15:00:00,12299.35
2023-01-23 16:00:00,12137.045
2023-01-23 17:00:00,12655.61
2023-01-23 18:00:00,12978.818
2023-01-23 19:00:00,12750.587
2023-01-23 20:00:00,11661.64
2023-01-23 21:00:00,11038.281
2023-01-23 22:00:00,10545.135
2023-01-23 23:00:00,9879.061
2023-01-24 00:00:00,9511.215
2023-01-24 01:00:00,9322.609
2023-01-24 02:00:00,9264.799
2023-01-24 03:00:00,9365.725
2023-01-24 04:00:00,9591.593
2023-01-24 05:00:00,10104.405
2023-01-24 06:00:00,10941.128
2023-01-24 07:00:00,11791.692
2023-01-24 08:00:00,12043.128
2023-01-24 09:00:00,12462.263
2023-01-24 10:00:00,12866.3125
2023-01-24 11:00:00,13092.772
2023-01-24 12:00:00,13072.604
2023-01-24 13:00:00,12908.739
2023-01-24 14:00:00,12574.618
2023-01-24 15:00:00,12289.962
2023-01-24 16:00:00,12211.182
2023-01-24 17:00:00,12716.078
2023-01-24 18:00:00,12832.436
2023-01-24 19:00:00,12724.332
2023-01-24 20:00:00,11863.071
2023-01-24 21:00:00,11109.46
2023-01-24 22:00:00,10609.9375
2023-01-24 23:00:00,10075.325
2023-01-25 00:00:00,9480.655
2023-01-25 01:00:00,8798.916
2023-01-25 02:00:00,8707.173
2023-01-25 03:00:00,8867.391
2023-01-25 04:00:00,9022.784
2023-01-25 05:00:00,9686.054
